Европа 1983, Кишинев, circular, 180 
Европа 1983, Кишинев, circular, 180 
Европа 1983, Кишинев, circular, 180 
Европа 1983, Кишинев, circular, 180 
Европа 1983, Кишинев, circular, 180 
Европа 1983, Кишинев, circular, 180 
Европа 1983, Кишинев, circular, 180 
Европа 1983, Кишинев, circular, 180 
Европа 1983, Кишинев, circular, 180 
Европа 1983, Кишинев, circular, 180 
Европа 1983, Кишинев, circular, 180 
Европа 1983, Кишинев, circular, 180 
Европа 1983, Кишинев, circular, 180 
Европа 1983, Кишинев, circular, 180 
Европа 1983, Кишинев, circular, 180 
Европа 1983, Кишинев, circular, 180 
Хогевен 1980, Ла-Корунья, Swiss, 179 
Хогевен 2011, Барселона, Olympic, 179 
Хогевен 1980, Ла-Корунья, Swiss, 179 
Хогевен 2011, Барселона, Olympic, 179 
Хогевен 1980, Ла-Корунья, Swiss, 179 
Хогевен 2011, Барселона, Olympic, 179 
Хогевен 1980, Ла-Корунья, Swiss, 179 
Хогевен 2011, Барселона, Olympic, 179 
Хогевен 1980, Ла-Корунья, Swiss, 179 
Хогевен 2011, Барселона, Olympic, 179 
Хогевен 1980, Ла-Корунья, Swiss, 179 
Хогевен 2011, Барселона, Olympic, 179 
Хогевен 1980, Ла-Корунья, Swiss, 179 
Хогевен 2011, Барселона, Olympic, 179 
