Inventory,Budget Profit,Budget COGS,Budget Margin,Budget Sales,ProductId,Date,Product Type,Product,Type
962.0,110.0,110.0,160.0,270.0,2,04/01/10 00:00:00,Coffee,Columbian,Regular
1148.0,90.0,80.0,130.0,210.0,2,07/01/10 00:00:00,Coffee,Columbian,Regular
1134.0,130.0,110.0,180.0,290.0,2,11/01/10 00:00:00,Coffee,Columbian,Regular
1166.0,110.0,100.0,160.0,260.0,2,12/01/10 00:00:00,Coffee,Columbian,Regular
1148.0,90.0,80.0,130.0,210.0,2,07/01/11 00:00:00,Coffee,Columbian,Regular
1139.0,90.0,80.0,130.0,210.0,2,08/01/11 00:00:00,Coffee,Columbian,Regular
1130.0,110.0,90.0,150.0,240.0,2,09/01/11 00:00:00,Coffee,Columbian,Regular
1119.0,130.0,100.0,160.0,260.0,2,10/01/11 00:00:00,Coffee,Columbian,Regular
1134.0,130.0,110.0,180.0,290.0,2,11/01/11 00:00:00,Coffee,Columbian,Regular
804.0,20.0,20.0,30.0,50.0,13,06/01/10 00:00:00,Tea,Green Tea,Regular
809.0,40.0,30.0,60.0,90.0,13,11/01/10 00:00:00,Tea,Green Tea,Regular
811.0,20.0,20.0,30.0,50.0,13,08/01/11 00:00:00,Tea,Green Tea,Regular
806.0,40.0,20.0,40.0,60.0,13,10/01/11 00:00:00,Tea,Green Tea,Regular
809.0,40.0,30.0,60.0,90.0,13,11/01/11 00:00:00,Tea,Green Tea,Regular
597.0,10.0,50.0,70.0,120.0,5,06/01/10 00:00:00,Espresso,Caffe Mocha,Regular
606.0,40.0,40.0,90.0,130.0,5,10/01/10 00:00:00,Espresso,Caffe Mocha,Regular
613.0,10.0,60.0,80.0,140.0,5,11/01/10 00:00:00,Espresso,Caffe Mocha,Regular
522.0,20.0,70.0,100.0,170.0,5,01/01/11 00:00:00,Espresso,Caffe Mocha,Regular
513.0,20.0,60.0,90.0,150.0,5,02/01/11 00:00:00,Espresso,Caffe Mocha,Regular
506.0,10.0,60.0,80.0,140.0,5,03/01/11 00:00:00,Espresso,Caffe Mocha,Regular
521.0,10.0,60.0,80.0,140.0,5,04/01/11 00:00:00,Espresso,Caffe Mocha,Regular
551.0,20.0,60.0,90.0,150.0,5,05/01/11 00:00:00,Espresso,Caffe Mocha,Regular
612.0,20.0,50.0,90.0,140.0,5,09/01/11 00:00:00,Espresso,Caffe Mocha,Regular
627.0,10.0,50.0,70.0,120.0,5,12/01/11 00:00:00,Espresso,Caffe Mocha,Regular
305.0,40.0,50.0,70.0,120.0,6,02/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
334.0,40.0,40.0,70.0,110.0,6,05/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
388.0,20.0,40.0,50.0,90.0,6,07/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
384.0,20.0,40.0,50.0,90.0,6,08/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
312.0,40.0,50.0,70.0,120.0,6,01/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
299.0,40.0,50.0,70.0,120.0,6,03/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
384.0,20.0,40.0,50.0,90.0,6,08/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
375.0,50.0,30.0,60.0,90.0,6,10/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
380.0,40.0,50.0,70.0,120.0,6,11/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
392.0,40.0,40.0,70.0,110.0,6,12/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
476.0,40.0,60.0,80.0,140.0,9,03/01/10 00:00:00,Herbal Tea,Lemon,Decaf
580.0,40.0,50.0,80.0,130.0,9,06/01/10 00:00:00,Herbal Tea,Lemon,Decaf
494.0,30.0,60.0,70.0,130.0,9,04/01/11 00:00:00,Herbal Tea,Lemon,Decaf
599.0,20.0,50.0,60.0,110.0,9,09/01/11 00:00:00,Herbal Tea,Lemon,Decaf
593.0,30.0,40.0,50.0,90.0,9,10/01/11 00:00:00,Herbal Tea,Lemon,Decaf
949.0,50.0,50.0,70.0,120.0,10,03/01/10 00:00:00,Herbal Tea,Mint,Decaf
956.0,50.0,50.0,70.0,120.0,10,02/01/11 00:00:00,Herbal Tea,Mint,Decaf
998.0,40.0,50.0,60.0,110.0,10,05/01/11 00:00:00,Herbal Tea,Mint,Decaf
1059.0,40.0,40.0,60.0,100.0,10,09/01/11 00:00:00,Herbal Tea,Mint,Decaf
1053.0,50.0,30.0,50.0,80.0,10,10/01/11 00:00:00,Herbal Tea,Mint,Decaf
1075.0,40.0,40.0,60.0,100.0,10,12/01/11 00:00:00,Herbal Tea,Mint,Decaf
821.0,60.0,40.0,80.0,120.0,11,04/01/10 00:00:00,Tea,Darjeeling,Regular
894.0,50.0,30.0,60.0,90.0,11,07/01/10 00:00:00,Tea,Darjeeling,Regular
890.0,40.0,30.0,50.0,80.0,11,08/01/10 00:00:00,Tea,Darjeeling,Regular
886.0,50.0,40.0,70.0,110.0,11,09/01/10 00:00:00,Tea,Darjeeling,Regular
876.0,40.0,30.0,60.0,90.0,11,06/01/11 00:00:00,Tea,Darjeeling,Regular
338.0,70.0,60.0,100.0,160.0,2,01/01/10 00:00:00,Coffee,Columbian,Regular
325.0,80.0,70.0,110.0,180.0,2,03/01/10 00:00:00,Coffee,Columbian,Regular
438.0,110.0,90.0,140.0,230.0,2,10/01/10 00:00:00,Coffee,Columbian,Regular
338.0,70.0,60.0,100.0,160.0,2,01/01/11 00:00:00,Coffee,Columbian,Regular
340.0,90.0,80.0,130.0,210.0,2,04/01/11 00:00:00,Coffee,Columbian,Regular
425.0,110.0,90.0,150.0,240.0,2,06/01/11 00:00:00,Coffee,Columbian,Regular
541.0,60.0,110.0,160.0,270.0,3,02/01/10 00:00:00,Coffee,Decaf Irish Cream,Decaf
532.0,70.0,110.0,170.0,280.0,3,03/01/10 00:00:00,Coffee,Decaf Irish Cream,Decaf
554.0,70.0,110.0,170.0,280.0,3,04/01/10 00:00:00,Coffee,Decaf Irish Cream,Decaf
665.0,90.0,130.0,200.0,330.0,3,06/01/10 00:00:00,Coffee,Decaf Irish Cream,Decaf
705.0,100.0,160.0,230.0,390.0,3,08/01/10 00:00:00,Coffee,Decaf Irish Cream,Decaf
532.0,70.0,110.0,170.0,280.0,3,03/01/11 00:00:00,Coffee,Decaf Irish Cream,Decaf
665.0,90.0,130.0,200.0,330.0,3,06/01/11 00:00:00,Coffee,Decaf Irish Cream,Decaf
717.0,100.0,150.0,220.0,370.0,3,07/01/11 00:00:00,Coffee,Decaf Irish Cream,Decaf
692.0,60.0,110.0,160.0,270.0,3,09/01/11 00:00:00,Coffee,Decaf Irish Cream,Decaf
683.0,100.0,140.0,190.0,330.0,3,10/01/11 00:00:00,Coffee,Decaf Irish Cream,Decaf
716.0,50.0,120.0,170.0,290.0,3,12/01/11 00:00:00,Coffee,Decaf Irish Cream,Decaf
506.0,10.0,40.0,60.0,100.0,13,03/01/10 00:00:00,Tea,Green Tea,Regular
617.0,10.0,20.0,50.0,70.0,13,08/01/10 00:00:00,Tea,Green Tea,Regular
606.0,10.0,20.0,40.0,60.0,13,10/01/10 00:00:00,Tea,Green Tea,Regular
613.0,0.0,40.0,60.0,100.0,13,11/01/10 00:00:00,Tea,Green Tea,Regular
521.0,10.0,40.0,60.0,100.0,13,04/01/11 00:00:00,Tea,Green Tea,Regular
551.0,10.0,40.0,60.0,100.0,13,05/01/11 00:00:00,Tea,Green Tea,Regular
612.0,10.0,40.0,60.0,100.0,13,09/01/11 00:00:00,Tea,Green Tea,Regular
606.0,10.0,20.0,40.0,60.0,13,10/01/11 00:00:00,Tea,Green Tea,Regular
338.0,20.0,50.0,70.0,120.0,5,05/01/10 00:00:00,Espresso,Caffe Mocha,Regular
403.0,20.0,50.0,70.0,120.0,5,07/01/10 00:00:00,Espresso,Caffe Mocha,Regular
312.0,20.0,50.0,60.0,110.0,5,01/01/11 00:00:00,Espresso,Caffe Mocha,Regular
